STATE,2013,2012,2011,2010,2009
New Jersey,1368.27,1334.56,1303.52,1276.44,1217.96
District of Columbia ,1316.48,1289.49,1276.99,1277.24,1264.92
Louisiana,1307.72,1275.10,1281.55,1294.89,1271.24
New York,1301.48,1273.95,1236.77,1207.70,1185.65
Michigan,1264.21,1171.94,1110.64,1085.25,1042.69
Rhode Island,1210.54,1176.03,1148.97,1133.17,1117.62
Florida,1209.74,1196.34,1160.10,1114.84,1087.82
Delaware,1187.18,1153.59,1134.60,1118.61,1105.63
Connecticut,1109.03,1082.28,1068.18,1065.92,1049.85
Massachusetts,1080.48,1048.06,1011.14,957.89,923.11
Maryland,1071.35,1056.82,1048.86,1041.79,1021.07
Texas,1058.60,1020.06,1004.75,1013.59,1022.19
Alaska,1058.15,1053.54,1053.48,1069.97,1072.75
Nevada,1047.74,1024.09,1029.87,1060.27,1073.33
West Virginia,1021.37,1005.68,992.57,986.19,964.83
Georgia,949.33,922.05,912.49,914.00,919.45
Oklahoma,931.41,902.90,881.50,864.04,831.48
Pennsylvania,930.48,915.83,904.47,906.58,903.78
Arizona,926.52,899.91,899.33,933.41,973.25
Mississippi,925.13,902.95,895.69,901.84,889.92
California,923.44,887.94,880.74,886.48,895.51
Washington,914.04,891.04,889.82,898.83,910.37
Kentucky,904.99,888.46,872.48,852.75,828.84
South Carolina,904.22,880.82,857.70,849.67,848.80
New Mexico,888.83,866.19,869.85,888.30,900.86
Colorado,887.31,849.74,835.50,844.03,855.77
Arkansas,868.13,843.07,829.13,821.99,810.82
Oregon,856.26,818.07,804.59,807.20,807.57
Montana,844.73,821.68,816.21,817.93,817.84
Hawaii,844.16,844.13,861.95,881.17,901.40
Tennessee,829.38,794.53,767.82,758.24,752.23
Kansas,828.26,785.71,780.43,777.78,769.44
Minnesota,823.60,800.24,777.17,776.96,776.23
Utah,820.94,805.32,809.35,817.84,817.32
Missouri,819.79,799.14,790.27,794.52,783.38
Illinois,819.27,806.43,803.04,813.47,807.31
Alabama,811.75,788.07,784.38,783.19,783.59
Virginia,809.40,781.38,768.95,764.40,756.53
Wyoming,804.45,796.14,791.14,786.76,788.60
Nebraska,773.68,751.18,732.21,720.99,703.65
New Hampshire,773.30,755.76,746.57,749.84,760.62
North Carolina,738.97,720.47,708.10,707.07,718.86
Ohio,738.68,714.05,697.61,699.14,695.02
North Dakota,738.47,714.75,688.74,669.50,650.36
Vermont,734.82,726.57,716.14,713.00,723.16
South Dakota,718.57,690.95,669.20,653.87,642.93
Indiana,704.48,724.35,710.36,716.16,710.61
Wisconsin,689.76,666.79,669.99,682.98,653.09
Maine,674.94,667.66,662.28,670.62,682.93
Iowa,668.09,656.84,648.99,644.63,620.07
Idaho,650.57,639.19,641.96,658.92,665.94
